name,age,position,country,MarketValue,previous_team,LeagueOfPreviousTeam,CountryOfPreviousTeam,transfer_fee,YearOfTransfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,InTheSquad,Appearances,PointsPerGames,TotalGoals,TotalAssists,OwnGoals,YellowCards,RedCards,Penalty_goals,MinutesPerGoal,MinutesTotal,JoinedIn,ContractExpires
Danny Ings ,30,Centre-Forward,England,€16.00m,Aston Villa,Premier League,England,€12.00m,2022,West Ham United,Premier League,England,"1,77 m",NONE,34,31,1.19,7,6,0,4,0,1,285',1.995',"Jan 20, 2023","Jun 30, 2025"
St. Juste ,25,Centre-Back,Netherlands,€16.00m,1.FSV Mainz 05,Bundesliga,Germany,€10.00m,2022,Sporting CP,Liga Portugal,Portugal,"1,86 m",NONE,11,9,1.44,1,0,0,0,0,0,724',724',"Jul 1, 2022","Jun 30, 2026"
Arkadiusz Milik ,28,Centre-Forward,Poland,€16.00m,SSC Napoli,Serie A,Italy,€8.00m,2022,Olympique Marseille,Ligue 1,France,"1,86 m",NONE,41,37,1.73,20,2,0,2,0,4,116',2.321',"Aug 26, 2022","Jun 30, 2023"
Duje Caleta-Car ,25,Centre-Back,Croatia,€16.00m,Olympique Marseille,Ligue 1,France,€8.00m,2022,Southampton FC,Premier League,England,"1,92 m",CAA Stellar ,53,38,1.74,2,1,1,7,0,0,1.556',3.111',"Sep 1, 2022","Jun 30, 2026"
Matteo Pessina ,25,Attacking Midfield,Italy,€16.00m,Atalanta BC,Serie A,Italy,Loan fee:€3.20m,2022,AC Monza,Serie A,Italy,"1,87 m",NONE,46,37,1.70,2,1,0,0,0,0,967',1.934',"Jul 6, 2022","Jun 30, 2023"
Arkadiusz Milik ,28,Centre-Forward,Poland,€16.00m,Olympique Marseille,Ligue 1,France,Loan fee:€750k,2022,Juventus FC,Serie A,Italy,"1,86 m",NONE,41,37,1.73,20,2,0,2,0,4,116',2.321',"Aug 26, 2022","Jun 30, 2023"
Randal Kolo Muani ,23,Centre-Forward,France,€16.00m,FC Nantes,Ligue 1,France,free transfer,2022,Eintracht Frankfurt,Bundesliga,Germany,"1,87 m",NONE,42,41,1.71,13,7,0,3,0,0,262',3.402',"Jul 1, 2022","Jun 30, 2027"
Luiz Felipe ,25,Centre-Back,Italy,€16.00m,SS Lazio,Serie A,Italy,free transfer,2022,Real Betis Balompié,LaLiga,Spain,"1,87 m",AIS Football ,44,40,1.50,0,1,0,13,1,0,0,3.333',"Jul 4, 2022","Jun 30, 2027"
Luka Jović ,24,Centre-Forward,Serbia,€16.00m,Real Madrid,LaLiga,Spain,free transfer,2022,ACF Fiorentina,Serie A,Italy,"1,82 m",LIAN Sports Group ,40,19,2.11,1,3,0,2,0,0,549',549',"Jul 8, 2022","Jun 30, 2024"
Bertrand Traoré ,26,Right Winger,Burkina Faso,€16.00m,Aston Villa,Premier League,England,loan transfer,2022,Basaksehir FK,Süper Lig,Turkey,"1,81 m",CAA Stellar ,20,10,0.40,0,0,0,0,0,0,0,277',"Sep 19, 2020","Jun 30, 2024"
Dele Alli ,26,Attacking Midfield,England,€16.00m,Everton FC,Premier League,England,loan transfer,2022,Besiktas JK,Süper Lig,Turkey,"1,88 m",NONE,48,29,1.38,2,1,0,5,0,2,686',1.371',"Aug 25, 2022","Jun 30, 2023"
Diadié Samassékou ,26,Defensive Midfield,Mali,€16.00m,TSG 1899 Hoffenheim,Bundesliga,Germany,loan transfer,2022,Olympiacos Piraeus,Super League 1,Greece,"1,77 m",ROOF ,31,25,1.68,2,1,0,7,0,0,847',1.694',"Sep 15, 2022","Jun 30, 2023"
Yuri Alberto ,21,Centre-Forward,Brazil,€16.00m,Zenit St. Petersburg,Premier Liga,Russia,free transfer,2022,Sport Club Corinthians Paulista,Paulistão A1 - Primeira fase,Brazil,"1,83 m",NONE,44,44,1.77,18,6,0,5,0,0,175',3.144',"Jan 10, 2023","Dec 31, 2027"
Cheick Doucouré ,22,Defensive Midfield,Mali,€15.00m,RC Lens,Ligue 1,France,€22.60m,2022,Crystal Palace,Premier League,England,"1,80 m",NONE,37,37,1.65,1,4,0,7,1,0,3.218',3.218',"Jul 11, 2022","Jun 30, 2027"
Roman Yaremchuk ,26,Centre-Forward,Ukraine,€15.00m,SL Benfica,Liga Portugal,Portugal,€17.00m,2022,Club Brugge KV,Jupiler Pro League,Belgium,"1,91 m",Vision Foot ,47,42,1.81,9,6,0,5,0,0,219',1.972',"Aug 29, 2022","Jun 30, 2026"
Takumi Minamino ,27,Left Winger,Japan,€12.00m,Liverpool FC,Premier League,England,€15.00m,2022,AS Monaco,Ligue 1,Monaco,"1,72 m",NONE,48,24,2.71,10,1,0,2,0,0,101',1.008',"Jul 1, 2022","Jun 30, 2026"
Mikkel Damsgaard ,22,Left Winger,Denmark,€15.00m,UC Sampdoria,Serie A,Italy,€15.00m,2022,Brentford FC,Premier League,England,"1,80 m",NONE,14,12,1.00,0,0,0,1,0,0,0,613',"Aug 10, 2022","Jun 30, 2027"
Cesare Casadei ,19,Central Midfield,Italy,€1.00m,Inter Milan Primavera,Primavera 1,Italy,€15.00m,2022,Chelsea FC U21,Premier League 2,England,"1,85 m",NONE,41,40,1.73,17,5,0,8,0,2,179',3.040',"Jan 30, 2023","May 31, 2023"
Éverton ,26,Left Winger,Brazil,€15.00m,SL Benfica,Liga Portugal,Portugal,€14.00m,2022,CR Flamengo,Série A,Brazil,"1,74 m",NONE,82,77,2.08,10,12,1,8,1,0,437',4.374',"Jul 18, 2022","Jun 30, 2026"
Rasmus Kristensen ,24,Right-Back,Denmark,€15.00m,Red Bull Salzburg,Bundesliga,Austria,€13.00m,2022,Leeds United,Premier League,England,"1,87 m",NONE,45,45,2.42,10,8,0,2,0,1,388',3.878',"Jul 1, 2022","Jun 30, 2027"
Orel Mangala ,24,Central Midfield,Belgium,€15.00m,VfB Stuttgart,Bundesliga,Germany,€13.00m,2022,Nottingham Forest,Premier League,England,"1,78 m",M-Soccermanagement ,31,29,0.86,1,4,0,4,0,0,1.952',1.952',"Jul 31, 2022","Jun 30, 2026"
Breel Embolo ,25,Centre-Forward,Switzerland,€15.00m,Borussia Mönchengladbach,Bundesliga,Germany,€12.50m,2022,AS Monaco,Ligue 1,Monaco,"1,87 m",ESHA ,31,31,1.42,11,6,0,4,0,0,208',2.283',"Jul 15, 2022","Jun 30, 2026"
Pierre-Emerick Aubameyang ,33,Centre-Forward,Gabon,€15.00m,FC Barcelona,LaLiga,Spain,€12.00m,2022,Chelsea FC,Premier League,England,"1,86 m",Premier Sports ... ,38,38,1.92,20,3,0,3,0,0,132',2.630',"Sep 1, 2022","Jun 30, 2024"
