name,age,team,value,wage,contract,Posts
E. Haaland,21,Manchester City,€160M,€230K,2022 ~ 2027,['ST']
Zubimendi,23,Real Sociedad,€35M,€32K,2018 ~ 2027,"['CM', 'CDM']"
W. Weghorst,29,Beşiktaş,€17.5M,€59K,"May 31, 2023 On Loan",['ST']
W. Saliba,21,Arsenal,€54M,€62K,2019 ~ 2024,['CB']
J. Frimpong,21,Bayer 04 Leverkusen,€38.5M,€41K,2021 ~ 2025,"['RB', 'RWB', 'RM']"
R. Lavia,18,Southampton,€2.1M,€4K,2022 ~ 2027,['CDM']
Cristiano Ronaldo,37,Al Nassr,€31M,€86K,2023 ~ 2025,['ST']
Gonçalo Inácio,20,Sporting CP,€36M,€11K,2019 ~ 2026,['CB']
T. Livramento,19,Southampton,€11.5M,€22K,2021 ~ 2026,['RB']
Moleiro,18,Las Palmas,€10M,€3K,2021 ~ 2026,"['LM', 'CM', 'CAM']"
R. Gravenberch,20,FC Bayern München,€38.5M,€45K,2022 ~ 2027,['CM']
R. Cherki,18,Olympique Lyonnais,€7M,€15K,2019 ~ 2023,"['CAM', 'LW', 'RW']"
G. Rutter,20,TSG Hoffenheim,€12.5M,€25K,2021 ~ 2026,['ST']
K. Koné,21,Borussia Mönchengladbach,€23.5M,€21K,2021 ~ 2025,['CM']
M. Olise,20,Crystal Palace,€21M,€43K,2021 ~ 2026,"['RW', 'CAM', 'RM']"
I. Ilić,21,Hellas Verona,€17M,€20K,2021 ~ 2026,"['CM', 'CF']"
Yeremy Pino,19,Villarreal,€38M,€21K,2020 ~ 2027,"['RM', 'ST', 'LM']"
R. Lewis,17,Manchester City,€2.2M,€1K,2022 ~ 2024,"['RB', 'RWB']"
A. Vega,24,,€0,€0,Free,"['LW', 'ST', 'LM']"
M. Edwards,23,Sporting CP,€27.5M,€16K,2022 ~ 2026,"['RW', 'LW', 'ST']"
A. Varela,20,Boca Juniors,€15.5M,€11K,2020 ~ 2026,"['CDM', 'CM']"
M. Baturina,19,Dinamo Zagreb,€4.1M,€500,2021 ~ 2027,"['CM', 'CAM']"
G. Kuol,17,,€0,€0,Free,"['RM', 'RW']"
O. Zinchenko,25,Arsenal,€21.5M,€73K,2022 ~ 2027,['LB']
T. Baldanzi,19,Empoli,€3.8M,€4K,2021 ~ 2027,"['CAM', 'CF']"
Bruno Guimarães,24,Newcastle United,€52M,€105K,2022 ~ 2026,"['CM', 'CDM']"
Pedro Gonçalves,24,Sporting CP,€46M,€20K,2020 ~ 2026,"['LW', 'RW', 'CM']"
J. Álvarez,22,Manchester City,€36M,€110K,2022 ~ 2027,"['ST', 'RW', 'LW']"
D. Vlahović,22,Juventus,€86.5M,€140K,2022 ~ 2026,['ST']
K. Thuram,21,Nice,€28.5M,€32K,2019 ~ 2025,"['CM', 'CDM']"
K. Adeyemi,20,Borussia Dortmund,€12.5M,€31K,2022 ~ 2027,"['ST', 'RM']"
Fábio Vieira,22,Arsenal,€23.5M,€62K,2022 ~ 2027,"['CAM', 'RM']"
G. Scalvini,18,Atalanta,€3.5M,€6K,2021 ~ 2023,['CB']
K. Mbappé,23,Paris Saint Germain,€190.5M,€230K,2018 ~ 2024,"['ST', 'LW']"
C. Nkunku,24,RB Leipzig,€94M,€90K,2019 ~ 2024,"['CF', 'CAM', 'ST']"
Pedri,19,FC Barcelona,€104.5M,€115K,2020 ~ 2026,['CM']
