name,age,team,rating,value,wage,contract,Posts
J. Oosterwolde,21,Parma,67,€2.4M,€1K,2022 ~ 2026,"['LB', 'LM', 'LWB']"
Oh Hyun Gyu,21,Suwon Bluewings,68,€2.7M,€2K,2019 ~ 2023,"['ST', 'RW']"
Zubimendi,23,Real Sociedad,79,€35M,€32K,2018 ~ 2027,"['CM', 'CDM']"
K. Thuram,21,Nice,78,€28.5M,€32K,2019 ~ 2025,"['CM', 'CDM']"
M. Mudryk,21,Shakhtar Donetsk,75,€12.5M,€750,2018 ~ 2026,"['LM', 'CAM']"
A. Gordon,21,Everton,75,€12.5M,€26K,2017 ~ 2025,"['LM', 'RM']"
W. McKennie,23,Juventus,79,€26.5M,€86K,2021 ~ 2025,"['CM', 'LM', 'RM']"
Pedro Porro,22,Sporting CP,82,€46M,€16K,2022 ~ 2025,"['RWB', 'RM']"
R. Cherki,18,Olympique Lyonnais,73,€7M,€15K,2019 ~ 2023,"['CAM', 'LW', 'RW']"
A. Danjuma,25,Villarreal,82,€37M,€47K,2021 ~ 2026,"['ST', 'LM']"
A. Onana,20,Everton,75,€11.5M,€23K,2022 ~ 2027,"['CDM', 'CM']"
J. Kiwior,22,Spezia,72,€4.9M,€10K,2021 ~ 2025,"['CB', 'CDM']"
R. Kolo Muani,23,Eintracht Frankfurt,81,€39.5M,€37K,2022 ~ 2027,"['ST', 'RM']"
K. Mitoma,25,Brighton & Hove Albion,75,€7.5M,€51K,2021 ~ 2025,"['LM', 'LW', 'LWB']"
Fresneda,17,Real Valladolid,67,€2.2M,€500,2021 ~ 2025,['RB']
N. Madueke,20,PSV,77,€23M,€16K,2019 ~ 2025,['RW']
T. Moffi,23,Lorient,73,€4.9M,€15K,2020 ~ 2024,['ST']
R. Højlund,19,Atalanta,67,€2.4M,€9K,2022 ~ 2027,['ST']
S. Botman,22,Newcastle United,81,€37.5M,€79K,2022 ~ 2027,['CB']
D. Núñez,23,Liverpool,82,€61.5M,€120K,2022 ~ 2028,"['ST', 'LW']"
M. Caicedo,20,Brighton & Hove Albion,73,€6.5M,€30K,2021 ~ 2025,"['CDM', 'CM']"
N. Pope,30,Newcastle United,83,€24M,€88K,2022 ~ 2026,['GK']
D. Udogie,19,Udinese,76,€17M,€34K,"Jun 30, 2023 On Loan","['LWB', 'LM']"
A. Schjelderup,18,Nordsjælland,71,€4.4M,€4K,2020 ~ 2024,"['LW', 'CAM', 'ST']"
M. Gusto,19,Olympique Lyonnais,75,€11.5M,€24K,2020 ~ 2024,['RB']
W. Weghorst,29,Beşiktaş,79,€17.5M,€59K,"May 31, 2023 On Loan",['ST']
W. Saliba,21,Arsenal,81,€54M,€62K,2019 ~ 2024,['CB']
N. Zaniolo,22,Roma,81,€53M,€71K,2018 ~ 2024,"['CF', 'RW', 'RM']"
H. Vetlesen,22,Bodø / Glimt,70,€3.2M,€3K,2020 ~ 2023,"['CAM', 'CM']"
J. Bellingham,19,Borussia Dortmund,85,€81.5M,€44K,2020 ~ 2025,['CM']
L. Trossard,27,Brighton & Hove Albion,80,€22.5M,€75K,2019 ~ 2023,"['LM', 'ST']"
D. Vlahović,22,Juventus,84,€86.5M,€140K,2022 ~ 2026,['ST']
B. Saka,20,Arsenal,83,€72M,€83K,2018 ~ 2024,"['RM', 'RW']"
V. Osimhen,23,Napoli,83,€58M,€72K,2020 ~ 2025,['ST']
Rafael Leão,23,Milan,84,€66.5M,€90K,2019 ~ 2024,"['LW', 'LM']"
K. Kvaratskhelia,21,Napoli,79,€39.5M,€46K,2022 ~ 2027,"['LW', 'CAM']"
M. Perrone,19,Vélez Sarsfield,71,€4.4M,€6K,2022 ~ 2023,"['CM', 'CDM']"
G. Rutter,20,TSG Hoffenheim,75,€12.5M,€25K,2021 ~ 2026,['ST']
E. Camavinga,19,Real Madrid,79,€38M,€78K,2021 ~ 2027,"['CM', 'CDM']"
J. Frimpong,21,Bayer 04 Leverkusen,81,€38.5M,€41K,2021 ~ 2025,"['RB', 'RWB', 'RM']"
M. Rashford,24,Manchester United,83,€49.5M,€140K,2014 ~ 2024,"['LW', 'LM', 'ST']"
E. Fernández,21,Benfica,80,€42.5M,€13K,2022 ~ 2027,"['CM', 'CDM']"
D. Doué,17,Rennes,69,€3.5M,€2K,2022 ~ 2025,['CAM']
M. Ødegaard,23,Arsenal,84,€63.5M,€105K,2021 ~ 2026,"['CAM', 'CM']"
B. White,24,Arsenal,80,€30M,€69K,2021 ~ 2026,"['CB', 'RB']"
F. Chiesa,24,Juventus,84,€57.5M,€140K,2022 ~ 2025,['LW']
E. Haaland,21,Manchester City,89,€160M,€230K,2022 ~ 2027,['ST']
F. Miretti,18,Juventus,73,€7M,€22K,2021 ~ 2026,"['CM', 'CAM', 'CDM']"
M. Olise,20,Crystal Palace,77,€21M,€43K,2021 ~ 2026,"['RW', 'CAM', 'RM']"
Alejandro Garnacho,18,Manchester United,66,€2.4M,€11K,2021 ~ 2023,"['LW', 'LM']"
O. Zinchenko,25,Arsenal,79,€21.5M,€73K,2022 ~ 2027,['LB']
D. Szoboszlai,21,RB Leipzig,81,€41.5M,€46K,2021 ~ 2026,"['CAM', 'LM']"
T. Kubo,21,Real Sociedad,74,€9.5M,€19K,2022 ~ 2027,"['RM', 'ST', 'CAM']"
Gabriel Martinelli,21,Arsenal,79,€39.5M,€62K,2019 ~ 2024,"['LM', 'LW']"
Antony,22,Manchester United,82,€49M,€130K,2022 ~ 2027,"['RW', 'RM']"
A. Nusa,17,Club Brugge,68,€3.3M,€2K,2021 ~ 2025,"['LW', 'RW', 'ST']"
M. van de Ven,21,VfL Wolfsburg,75,€12M,€25K,2021 ~ 2025,"['CB', 'LB']"
E. Nketiah,23,Arsenal,73,€6M,€51K,2016 ~ 2027,['ST']
L. Martínez,24,Manchester United,82,€41.5M,€105K,2022 ~ 2027,['CB']
Balde,18,FC Barcelona,74,€8.5M,€24K,2021 ~ 2024,"['LB', 'LM', 'RB']"
F. Tomori,24,Milan,84,€60.5M,€75K,2021 ~ 2027,['CB']
E. Nketiah,23,Arsenal,73,€6M,€51K,2016 ~ 2027,['ST']
J. Kimmich,27,FC Bayern München,89,€105.5M,€130K,2015 ~ 2025,"['CDM', 'RB', 'CM']"
M. Guéhi,21,Crystal Palace,78,€29.5M,€36K,2021 ~ 2026,['CB']
Cho Gue Sung,24,Jeonbuk Motors,71,€3.8M,€8K,2020 ~ 2023,"['ST', 'LW']"
C. De Ketelaere,21,Milan,78,€32M,€49K,2022 ~ 2027,"['ST', 'LW']"
J. Gvardiol,20,RB Leipzig,82,€56M,€44K,2021 ~ 2027,"['CB', 'LB']"
M. Thuram,24,Borussia Mönchengladbach,80,€30.5M,€34K,2019 ~ 2023,"['ST', 'LM']"
C. Nkunku,24,RB Leipzig,86,€94M,€90K,2019 ~ 2024,"['CF', 'CAM', 'ST']"
C. Romero,24,Tottenham Hotspur,83,€49.5M,€95K,2022 ~ 2027,['CB']
T. Tomiyasu,23,Arsenal,79,€24.5M,€65K,2021 ~ 2026,['RB']
G. Bazunu,20,Southampton,71,€4M,€15K,2022 ~ 2027,['GK']
W. Gnonto,18,Leeds United,70,€4.1M,€9K,2022 ~ 2027,"['ST', 'LM', 'RM']"
N. Mbamba,17,Club Brugge,64,€1.5M,€500,2021 ~ 2023,"['CB', 'CDM']"
Gavi,17,FC Barcelona,80,€39M,€18K,2020 ~ 2026,"['CM', 'LW', 'RW']"
A. Güler,17,Fenerbahçe,70,€4M,€4K,2021 ~ 2025,"['CAM', 'CM', 'RW']"
E. Smith Rowe,21,Arsenal,80,€43M,€65K,2017 ~ 2026,"['LM', 'CAM']"
Y. Moukoko,17,Borussia Dortmund,75,€13M,€8K,2020 ~ 2023,['ST']
M. Viña,24,Roma,75,€6.5M,€39K,2021 ~ 2026,"['LWB', 'LM', 'CB']"
K. Taylor,20,Ajax,75,€12.5M,€11K,2018 ~ 2027,"['CM', 'CDM']"
Cristiano Ronaldo,37,Al Nassr,88,€31M,€86K,2023 ~ 2025,['ST']
H. Son,29,Tottenham Hotspur,88,€89.5M,€230K,2015 ~ 2025,"['LW', 'LM', 'ST']"
João Cancelo,28,Manchester City,88,€82.5M,€250K,2019 ~ 2027,"['LB', 'RB']"
Joelinton,25,Newcastle United,77,€14M,€72K,2019 ~ 2024,"['CM', 'LW']"
A. Isak,22,Newcastle United,80,€33M,€90K,2022 ~ 2028,['ST']
K. Havertz,23,Chelsea,84,€84.5M,€130K,2020 ~ 2025,"['CAM', 'CF', 'ST']"
M. Diaby,22,Bayer 04 Leverkusen,84,€61.5M,€70K,2019 ~ 2025,"['RM', 'LM', 'LW']"
D. Kulusevski,22,Tottenham Hotspur,81,€39.5M,€105K,"Jun 30, 2023 On Loan",['RW']
Nuno Mendes,20,Paris Saint Germain,80,€44M,€54K,2021 ~ 2026,"['LB', 'LWB']"
C. Chukwuemeka,18,Chelsea,64,€1.6M,€7K,2022 ~ 2028,"['CM', 'CAM', 'CF']"
T. Livramento,19,Southampton,75,€11.5M,€22K,2021 ~ 2026,['RB']
C. Lukeba,19,Olympique Lyonnais,76,€15M,€25K,2021 ~ 2025,['CB']
M. Tel,17,FC Bayern München,67,€2.6M,€4K,2022 ~ 2027,"['ST', 'LM', 'RM']"
T. Baldanzi,19,Empoli,70,€3.8M,€4K,2021 ~ 2027,"['CAM', 'CF']"
H. Kane,28,Tottenham Hotspur,89,€105.5M,€240K,2010 ~ 2024,['ST']
T. Partey,29,Arsenal,84,€36M,€115K,2020 ~ 2024,"['CDM', 'CM']"
K. Adeyemi,20,Borussia Dortmund,75,€12.5M,€31K,2022 ~ 2027,"['ST', 'RM']"
R. Araujo,23,FC Barcelona,83,€52M,€135K,2018 ~ 2026,"['CB', 'RB']"
P. Hincapié,20,Bayer 04 Leverkusen,78,€26.5M,€33K,2021 ~ 2026,"['LB', 'CB']"
Nico Williams,19,Athletic Club,76,€16M,€14K,2020 ~ 2024,"['RM', 'LM']"
Gonçalo Ramos,21,Benfica,78,€32M,€13K,2019 ~ 2025,['ST']
N. Fagioli,21,Juventus,73,€7M,€42K,2019 ~ 2026,"['CDM', 'CM', 'CAM']"
22 F. Thauvin,28,Tigres UANL,79,€17.5M,€56K,2021 ~ 2025,['RM']
Merino,26,Real Sociedad,83,€47M,€49K,2018 ~ 2025,"['CM', 'LM', 'RM']"
T. Abraham,24,Roma,82,€44M,€77K,2021 ~ 2026,['ST']
J. Sancho,22,Manchester United,83,€53M,€140K,2021 ~ 2026,"['LW', 'RW', 'LM']"
D. Rice,23,West Ham United,84,€52M,€83K,2015 ~ 2024,"['CDM', 'CM']"
R. James,22,Chelsea,84,€57M,€120K,2017 ~ 2025,"['RWB', 'RB']"
C. Gakpo,23,Liverpool,83,€55M,€130K,2023 ~ 2028,['LW']
Rodrygo,21,Real Madrid,81,€52.5M,€130K,2019 ~ 2028,"['RW', 'LW', 'ST']"
R. Gravenberch,20,FC Bayern München,79,€38.5M,€45K,2022 ~ 2027,['CM']
Pedri,19,FC Barcelona,85,€104.5M,€115K,2020 ~ 2026,['CM']
E. Zeballos,20,Boca Juniors,72,€5.5M,€10K,2020 ~ 2026,"['RW', 'LW']"
R. Lavia,18,Southampton,66,€2.1M,€4K,2022 ~ 2027,['CDM']
António Silva,18,Benfica,75,€12M,€3K,2022 ~ 2027,['CB']
F. Wirtz,19,Bayer 04 Leverkusen,82,€66M,€38K,2020 ~ 2027,"['CAM', 'CM']"
Gonçalo Inácio,20,Sporting CP,79,€36M,€11K,2019 ~ 2026,['CB']
N. Jackson,21,Villarreal,73,€7M,€20K,2020 ~ 2026,"['ST', 'CAM', 'LM']"
A. Varela,20,Boca Juniors,76,€15.5M,€11K,2020 ~ 2026,"['CDM', 'CM']"
M. Cancellieri,19,Lazio,73,€7M,€14K,"Jun 30, 2023 On Loan","['RW', 'CF']"
M. Locatelli,24,Juventus,82,€40M,€37K,"Jun 30, 2023 On Loan","['CDM', 'CM']"
