name,age,team,value,contract,Posts
G. Scalvini,18,"

",€3.5M,2021 ~ 2023,['CB']
E. Haaland,21,"

",€160M,2022 ~ 2027,['ST']
W. Saliba,21,"

",€54M,2019 ~ 2024,['CB']
João Pedro,20,"

",€5.5M,2020 ~ 2025,"['ST', 'LM']"
J. Veerman,23,"

",€21M,2022 ~ 2026,"['CM', 'CDM', 'CAM']"
Balde,18,"

",€8.5M,2021 ~ 2024,"['LB', 'LM', 'RB']"
T. Baldanzi,19,"

",€3.8M,2021 ~ 2027,"['CAM', 'CF']"
H. Elliott,19,"

",€13.5M,2019 ~ 2027,"['CAM', 'CM', 'RW']"
D. Vlahović,22,"

",€86.5M,2022 ~ 2026,['ST']
J. Durán,18,"

",€575K,2022 ~ 2024,['ST']
Gonçalo Ramos,21,"

",€32M,2019 ~ 2025,['ST']
L. Messi,35,"

",€54M,2021 ~ 2023,['RW']
J. Álvarez,22,"

",€36M,2022 ~ 2027,"['ST', 'RW', 'LW']"
M. van de Ven,21,"

",€12M,2021 ~ 2025,"['CB', 'LB']"
V. Osimhen,23,"

",€58M,2020 ~ 2025,['ST']
E. Camavinga,19,"

",€38M,2021 ~ 2027,"['CM', 'CDM']"
K. Adeyemi,20,"

",€12.5M,2022 ~ 2027,"['ST', 'RM']"
M. Tel,17,"

",€2.6M,2022 ~ 2027,"['ST', 'LM', 'RM']"
Antony,22,"

",€49M,2022 ~ 2027,"['RW', 'RM']"
W. Weghorst,29,"

",€17.5M,"May 31, 2023 On Loan",['ST']
A. Lookman,24,"

",€19M,2022 ~ 2026,"['LM', 'RM']"
C. Lukeba,19,"

",€15M,2021 ~ 2025,['CB']
Nuno Mendes,20,"

",€44M,2021 ~ 2026,"['LB', 'LWB']"
D. Doué,17,"

",€3.5M,2022 ~ 2025,['CAM']
B. White,24,"

",€30M,2021 ~ 2026,"['CB', 'RB']"
S. Tonali,22,"

",€62.5M,2021 ~ 2027,"['CDM', 'CM']"
R. Lewis,17,"

",€2.2M,2022 ~ 2024,"['RB', 'RWB']"
A. Vega,24,,€0,Free,"['LW', 'ST', 'LM']"
C. Gallagher,22,"

",€28.5M,2017 ~ 2025,['CM']
J. Timber,21,"

",€44.5M,2019 ~ 2025,"['CB', 'RB']"
N. Fagioli,21,"

",€7M,2019 ~ 2026,"['CDM', 'CM', 'CAM']"
R. Lavia,18,"

",€2.1M,2022 ~ 2027,['CDM']
M. Thuram,24,"

",€30.5M,2019 ~ 2023,"['ST', 'LM']"
J. Sancho,22,"

",€53M,2021 ~ 2026,"['LW', 'RW', 'LM']"
M. Edwards,23,"

",€27.5M,2022 ~ 2026,"['RW', 'LW', 'ST']"
A. Mac Allister,23,"

",€21M,2019 ~ 2025,"['CM', 'CAM']"
A. Sambi Lokonga,22,"

",€10.5M,2021 ~ 2026,"['CDM', 'CM']"
Moleiro,18,"

",€10M,2021 ~ 2026,"['LM', 'CM', 'CAM']"
T. Bakayoko,27,"

",€6M,"Jun 30, 2023 On Loan","['CDM', 'CM']"
F. Chiesa,24,"

",€57.5M,2022 ~ 2025,['LW']
G. Bazunu,20,"

",€4M,2022 ~ 2027,['GK']
M. Olise,20,"

",€21M,2021 ~ 2026,"['RW', 'CAM', 'RM']"
C. Larin,27,"

",€2.7M,2022 ~ 2025,['ST']
P. Hincapié,20,"

",€26.5M,2021 ~ 2026,"['LB', 'CB']"
B. Šeško,19,"

",€5.5M,2021 ~ 2026,['ST']
T. Livramento,19,"

",€11.5M,2021 ~ 2026,['RB']
João Félix,22,"

",€59M,"Jun 30, 2023 On Loan","['CF', 'ST']"
K. Taylor,20,"

",€12.5M,2018 ~ 2027,"['CM', 'CDM']"
J. Musiala,19,"

",€78.5M,2020 ~ 2026,"['CAM', 'LM', 'CM']"
E. Zeballos,20,"

",€5.5M,2020 ~ 2026,"['RW', 'LW']"
M. Mount,23,"

",€49.5M,2016 ~ 2024,"['CAM', 'RW', 'CM']"
D. Rice,23,"

",€52M,2015 ~ 2024,"['CDM', 'CM']"
F. Wirtz,19,"

",€66M,2020 ~ 2027,"['CAM', 'CM']"
Yeremy Pino,19,"

",€38M,2020 ~ 2027,"['RM', 'ST', 'LM']"
T. Tomiyasu,23,"

",€24.5M,2021 ~ 2026,['RB']
L. Martínez,24,"

",€41.5M,2022 ~ 2027,['CB']
Fábio Vieira,22,"

",€23.5M,2022 ~ 2027,"['CAM', 'RM']"
C. Chukwuemeka,18,"

",€1.6M,2022 ~ 2028,"['CM', 'CAM', 'CF']"
D. Fofana,19,"

",€2.9M,2023 ~ 2024,['ST']
N. Mbamba,17,"

",€1.5M,2021 ~ 2023,"['CB', 'CDM']"
